   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 154,          6414,            6264,           1723,      1523,         373,        238,         11781,             148,            779,     1768,        984,       265
 155,          6494,            6343,           1718,      1733,         359,        254,         11935,             147,            784,     1793,        997,       261
 156,          6619,            6467,           1766,      1453,         387,        231,         12090,             151,            795,     1795,        993,       260
 157,          6657,            6504,           1761,      1515,         374,        238,         12246,             154,            820,     1812,       1010,       264
 158,          6661,            6507,           1857,      1502,         378,        245,         12403,             155,            808,     1821,       1011,       264
 159,          6779,            6624,           1807,      1613,         392,        249,         12561,             156,            828,     1834,       1016,       272
 160,          6813,            6657,           1810,      1623,         402,        252,         12720,             153,            837,     1854,       1027,       270
 161,          6903,            6746,           1855,      1620,         383,        255,         12880,             152,            839,     1852,       1034,       271
 162,          7023,            6865,           1863,      1533,         405,        246,         13041,             157,            860,     1866,       1039,       288
 163,          7090,            6931,           1893,      1588,         399,        250,         13203,             155,            873,     1901,       1063,       283
 164,          7132,            6972,           1902,      1567,         404,        249,         13366,             156,            890,     1905,       1058,       283
 165,          7146,            6985,           1917,      1608,         405,        254,         13530,             161,            895,     1920,       1065,       284
 166,          7155,            6993,           1949,      1683,         406,        272,         13695,             161,            911,     1940,       1071,       285
 167,          7247,            7084,           2094,      1634,         432,        273,         13861,             166,            908,     1945,       1080,       289
 168,          7351,            7187,           1936,      1635,         400,        252,         14028,             163,            928,     1959,       1091,       293
 169,          7474,            7309,           1987,      1613,         407,        252,         14196,             165,            944,     1968,       1097,       287
 170,          7598,            7432,           2051,      1942,         413,        287,         14365,             166,            950,     1990,       1114,       293
 171,          7712,            7545,           2081,      1789,         413,        274,         14535,             165,            962,     2005,       1117,       293
 172,          7883,            7716,           2105,      1670,         424,        269,         14706,             168,            983,     2017,       1124,       296
 173,          7991,            7823,           2132,      1655,         445,        263,         14878,             159,            980,     2027,       1123,       297
 174,          8012,            7843,           2225,      1809,         433,        278,         15051,             165,            998,     2040,       1135,       300
 175,          8098,            7928,           2176,      1843,         437,        284,         15225,             172,           1006,     2065,       1144,       304
 176,          8255,            8084,           2222,      1981,         444,        297,         15400,             172,           1016,     2071,       1150,       309
 177,          8346,            8174,           2223,      1807,         442,        283,         15576,             172,           1020,     2095,       1168,       320
 178,          8435,            8262,           2288,      1745,         458,        281,         15753,             176,           1039,     2107,       1168,       315
 179,          8608,            8434,           2311,      1755,         449,        284,         15931,             170,           1054,     2115,       1170,       309
 180,          8681,            8506,           2340,      1999,         444,        306,         16110,             170,           1102,     2130,       1180,       314
 181,          8809,            8633,           2389,      1826,         464,        290,         16290,             177,           1088,     2144,       1189,       316
 182,          8954,            8777,           2424,      1832,         443,        291,         16471,             175,           1091,     2152,       1197,       318
 183,          9100,            8922,           2475,      2121,         454,        313,         16653,             178,           1105,     2168,       1200,       320
 184,          9137,            8958,           2481,      2247,         464,        335,         16836,             176,           1112,     2195,       1216,       324
 185,          9168,            8988,           2493,      1909,         470,        298,         17020,             178,           1141,     2198,       1216,       322
 186,          9297,            9116,           2515,      1994,         456,        307,         17205,             178,           1143,     2210,       1230,       329
 187,          9474,            9292,           2577,      1994,         448,        302,         17391,             182,           1157,     2241,       1234,       335
 188,          9607,            9424,           2606,      1968,         479,        305,         17578,             184,           1179,     2257,       1254,       336
 189,          9735,            9551,           2624,      2001,         477,        315,         17766,             185,           1180,     2285,       1271,       336
 190,          9785,            9600,           2667,      2154,         468,        318,         17955,             184,           1186,     2286,       1266,       340
 191,          9815,            9629,           2648,      1942,         480,        302,         18145,             185,           1212,     2307,       1277,       348
 192,          9870,            9683,           2810,      1953,         484,        321,         18336,             185,           1213,     2327,       1283,       352
 193,          9912,            9724,           2812,      1997,         490,        324,         18528,             190,           1227,     2345,       1302,       355
 194,         10071,            9882,           2842,      1955,         499,        325,         18721,             184,           1231,     2360,       1312,       372
 195,         10107,            9917,           2869,      2171,         491,        336,         18915,             187,           1239,     2361,       1317,       348
 196,         10211,           10020,           2730,      1928,         519,        310,         19110,             188,           1255,     2381,       1316,       347
 197,         10272,           10080,           2750,      2086,         499,        319,         19306,             192,           1291,     2391,       1312,       360
 198,         10343,           10150,           2785,      2123,         513,        328,         19503,             192,           1288,     2404,       1332,       354
 199,         10391,           10197,           2787,      2108,         495,        328,         19701,             193,           1300,     2418,       1339,       353
 200,         10395,           10200,           2784,      2037,         519,        318,         19900,             194,           1338,     2434,       1350,       354
 201,         10537,           10341,           2830,      2028,         502,        316,         20100,             195,           1317,     2453,       1361,       374
 202,         10646,           10449,           2840,      2202,         497,        335,         20301,             195,           1332,     2477,       1373,       370
 203,         10678,           10480,           2855,      2103,         532,        329,         20503,             196,           1357,     2488,       1372,       364
 204,         10790,           10591,           3019,      2180,         514,        339,         20706,             201,           1457,     2498,       1387,       370
 205,         10952,           10752,           3045,      2413,         499,        374,         20910,             200,           1395,     2512,       1392,       370
 206,         10983,           10782,           3038,      2231,         532,        350,         21115,             200,           1401,     2518,       1388,       373
 207,         11012,           10810,           3157,      2336,         518,        355,         21321,             202,           1466,     2529,       1400,       375
 208,         11160,           10957,           3091,      2081,         546,        348,         21528,             205,           1455,     2558,       1415,       385
 209,         11343,           11139,           3141,      2164,         534,        343,         21736,             205,           1531,     2579,       1429,       393
 210,         11491,           11286,           3107,      2129,         545,        336,         21945,             206,           1437,     2594,       1432,       384
 211,         11622,           11416,           3102,      2227,         544,        347,         22155,             204,           1457,     2614,       1444,       406
 212,         11806,           11599,           3167,      2265,         538,        349,         22366,             207,           1471,     2627,       1445,       387
 213,         11968,           11760,           3192,      2394,         551,        362,         22578,             206,           1504,     2645,       1460,       386
 214,         12040,           11831,           3221,      2419,         539,        368,         22791,             209,           1507,     2657,       1471,       388
 215,         12067,           11857,           3241,      2453,         550,        369,         23005,             209,           1510,     2667,       1461,       390
 216,         12070,           11859,           3234,      2430,         535,        362,         23220,             211,           1517,     2690,       1475,       389
